t,speed,omega,q_dynamic,f_parallel,thrust_mag,D_mag,D_mag_signed,L_mag,Cl,Cd,Cd_signed
0.2666663,1.8604094,84.60000055,0.15037239777636235,-0.01930488504925606,0.0,0.01930488504925606,0.01930488504925606,0.008758007406278164,0.05824212113251858,0.1283805095531347,0.1283805095531347
0.2833333,1.65305503,84.57500005,0.1465457615391115,-0.018946957959152362,0.0,0.018946957959152362,0.018946957959152362,0.007358419496964594,0.05021243480317723,0.12929038520227432,0.12929038520227432
0.3000003,1.46030058,84.54999955,0.1433798644939826,-0.018449551684358318,0.0,0.018449551684358318,0.018449551684358318,0.005895493236830288,0.04111799978076915,0.12867602957689092,0.12867602957689092
0.3166663,1.28714406,84.52500055,0.1408539056798687,-0.01774575460313724,0.0,0.01774575460313724,0.01774575460313724,0.004702166383245599,0.033383287176520574,0.12598695447941366,0.12598695447941366
0.3333333,1.14040696,84.50000005,0.13894292739358347,-0.016715769797953254,0.0,0.016715769797953254,0.016715769797953254,0.004550488010275114,0.032750771094558505,0.12030673393401675,0.12030673393401675
0.3500003,1.0288102,84.47499955,0.13761919266819436,-0.015195454931834322,0.0,0.015195454931834322,0.015195454931834322,0.0058900898549539595,0.04279991577305073,0.1104166841646223,0.1104166841646223
0.3666663,0.96174768,84.45000055,0.13685415962252598,-0.01305602269618521,0.0,0.01305602269618521,0.01305602269618521,0.007993325111122463,0.05840761532692773,0.09540099279551756,0.09540099279551756
0.3833333,0.94592495,84.42500005,0.1366206607793842,-0.010373451487452784,0.0,0.010373451487452784,0.010373451487452784,0.009967708412612781,0.07295901187821578,0.07592886338182693,0.07592886338182693
0.4000003,0.98136469,84.39999955,0.1368939019019058,-0.007511273064355667,0.0,0.007511273064355667,0.007511273064355667,0.011277915534196024,0.082384352973425,0.05486930359935264,0.05486930359935264
0.4166663,1.06090127,84.37500055,0.13765148106694086,-0.004904227631931283,0.0,0.004904227631931283,0.004904227631931283,0.011841302727459086,0.08602379455474642,0.03562785953277411,0.03562785953277411
0.4333333,1.17395944,84.35000005,0.13887333474623959,-0.0027915170441355935,0.0,0.0027915170441355935,0.0027915170441355935,0.011873155150498924,0.08549629179852632,0.02010117384475915,0.02010117384475915
0.4500003,1.31056235,84.32499955,0.1405414047293762,-0.0011964181818340954,0.0,0.0011964181818340954,0.0011964181818340954,0.011635422635675937,0.08278999813671195,0.008512923178318126,0.008512923178318126
