track,i,ax,ay,az,speed,t,vx,vy,vz,x,y,z
track2,12,1.06663621,-13.95112124,-8.44470232,5.03749088,0.18333333,0.71800439,3.6580201,3.3881666,0.17049745,2.24254885,1.57439235
track2,13,0.98722654,-13.96504946,-8.61113016,4.77489608,0.20000003,0.7344582,3.42526882,3.24464748,0.18260133,2.30157638,1.62966591
track2,14,0.89523642,-13.86728587,-8.75258145,4.51292852,0.21666663,0.74937884,3.19414692,3.09877083,0.19496666,2.35673829,1.68252784
track2,15,0.79448241,-13.65593382,-8.88334664,4.25308261,0.23333333,0.76262024,2.96654757,2.95071476,0.20756668,2.40807751,1.73294032
track2,16,0.6876012,-13.33484679,-9.02786891,3.99647106,0.25000003,0.77408028,2.74429968,2.80024997,0.22037254,2.455668,1.78086512
track2,17,0.5764468,-12.91258284,-9.21091646,3.7437499,0.26666663,0.78368775,2.52908953,2.64673439,0.23335397,2.499613,1.82625675
track2,18,0.46231218,-12.40139513,-9.45156016,3.49513916,0.28333333,0.79139296,2.3223992,2.48920808,0.24647967,2.54004215,1.86905635
track2,19,0.3459959,-11.81585858,-9.75883241,3.2505324,0.30000003,0.79715957,2.12546783,2.32656054,0.25971763,2.57710778,1.90918784
track2,20,0.22812873,-11.1721536,-10.12156895,3.00976406,0.31666663,0.80096173,1.9392649,2.15786739,0.27303534,2.61098062,1.94655815
track2,21,0.10994917,-10.48679025,-10.51507805,2.77284151,0.33333333,0.80279422,1.76448471,1.98261574,0.2864,2.64184526,1.98106224
track2,22,-0.00628812,-9.77519713,-10.90532299,2.54016055,0.35000003,0.80268941,1.60156443,1.80085999,0.29977905,2.66989573,2.01259127
track2,23,-0.11807513,-9.05165404,-11.25929329,2.31260119,0.36666663,0.80072149,1.45070323,1.61320473,0.31314084,2.69533134,2.04104186
track2,24,-0.22305797,-8.32932575,-11.56222353,2.09142739,0.38333333,0.79700385,1.31188086,1.42050062,0.32645524,2.71835292,2.06632279
track2,25,-0.31908195,-7.61994052,-11.81532091,1.87825835,0.40000003,0.79168581,1.1848816,1.22357821,0.33969435,2.73915932,2.08835683
track2,26,-0.40428285,-6.93351576,-12.02041118,1.67529382,0.41666663,0.78494775,1.06932277,1.02323762,0.35283299,2.75794439,2.10708033
track2,27,-0.47726459,-6.2790892,-12.17871854,1.48564229,0.43333333,0.77699332,0.96467107,0.82025857,0.36584919,2.77489438,2.12244283
track2,28,-0.53755502,-5.6653704,-12.29160139,1.31374382,0.45000003,0.76803405,0.87024804,0.61539814,0.37872444,2.7901854,2.13440666
track2,29,-0.5848767,-5.09996348,-12.35992623,1.16585611,0.46666663,0.75828609,0.78524848,0.40939896,0.3914438,2.80398123,2.14294665
track2,30,-0.61834792,-4.58925114,-12.38906083,1.05023357,0.48333333,0.74798027,0.70876081,0.2029142,0.40399605,2.81643133,2.14804927
track2,31,-0.63675147,-4.13872569,-12.38704312,0.97624001,0.50000003,0.73736772,0.63978191,-0.00353693,0.41637397,2.82766921,2.14971075
track2,32,-0.63888332,-3.75300755,-12.36288977,0.95144307,0.51666663,0.72671965,0.57723166,-0.20958551,0.42857473,2.83781101,2.14793473
track2,33,-0.62383623,-3.43572881,-12.32385188,0.97759765,0.53333333,0.71632236,0.5199694,-0.41498345,0.4406001,2.84695437,2.14272998
track2,34,-0.59113935,-3.18933419,-12.27089899,1.04918718,0.55000003,0.70647001,0.46681372,-0.61949884,0.45245673,2.85517758,2.13410927
track2,35,-0.54097455,-3.01511796,-12.19674151,1.15625665,0.56666663,0.69745375,0.41656166,-0.82277827,0.46415612,2.86253906,2.12209027
track2,36,-0.4744817,-2.91343541,-12.0859052,1.28837396,0.58333333,0.68954571,0.3680043,-1.02421043,0.47571447,2.86907712,2.10669867
track2,37,-0.39313784,-2.88358403,-11.9221214,1.43678819,0.60000003,0.6829934,0.31994447,-1.22291285,0.48715232,2.87481004,2.08797261
track2,38,-0.29816454,-2.92380936,-11.69462844,1.59483471,0.61666663,0.67802398,0.27121422,-1.41782372,0.49849415,2.87973637,2.06596642
track2,39,-0.1900187,-3.03175174,-11.39952752,1.75761395,0.63333333,0.67485699,0.22068492,-1.60781622,0.50976818,2.88383554,2.04075271
track2,40,-0.06810619,-3.20505051,-11.04790784,1.9217072,0.65000003,0.67372189,0.16726731,-1.79194839,0.52100636,2.88706848,2.01242128
track2,41,0.06889915,-3.4416651,-10.66967156,2.0850777,0.66666663,0.67487021,0.10990611,-1.9697766,0.53224465,2.88937826,1.98107351
track2,42,0.2228404,-3.7393796,-10.29334854,2.24678585,0.68333333,0.67858423,0.04758299,-2.14133275,0.54352346,2.89069068,1.94681419
track2,43,0.39501746,-4.09539841,-9.92125269,2.40638498,0.70000003,0.68516786,-0.02067379,-2.3066873,0.55488808,2.89091492,1.90974729
track2,44,0.58517212,-4.50709832,-9.54210054,2.56356764,0.71666663,0.69492075,-0.09579224,-2.46572262,0.56638885,2.88994437,1.86997712
track2,45,0.792047,-4.97228835,-9.1484211,2.71814467,0.73333333,0.70812156,-0.17866388,-2.61819661,0.57808089,2.88765723,1.82761105
track2,46,1.01400291,-5.48866614,-8.7356754,2.87004816,0.75000003,0.72502164,-0.27014183,-2.76379149,0.59002377,2.88391717,1.78276105
track2,47,1.24926488,-6.05356691,-8.30626647,3.01941792,0.76666663,0.74584277,-0.37103482,-2.90222955,0.602281,2.87857402,1.73554412
track2,48,1.49612861,-6.66374332,-7.8635045,3.16659983,0.78333333,0.77077829,-0.48209743,-3.03328822,0.61491953,2.87146457,1.68608137
track2,49,1.75343531,-7.31484502,-7.40240186,3.31200056,0.80000003,0.80000227,-0.60401176,-3.15666183,0.6280094,2.86241365,1.63449835
track2,50,2.02112337,-8.00184046,-6.91711455,3.45606681,0.81666663,0.83368773,-0.73737603,-3.2719473,0.64162351,2.85123539,1.5809265
track2,51,2.29962624,-8.71973607,-6.40720853,3.59936441,0.83333333,0.87201491,-0.88270525,-3.37873432,0.65583773,2.83773469,1.52550404
track2,52,2.58923907,-9.46371813,-5.87379598,3.74259289,0.85000003,0.91516898,-1.04043421,-3.47663112,0.67073095,2.82170849,1.46837588
track2,53,2.89010261,-10.22870107,-5.30712884,3.88640567,0.86666663,0.96333745,-1.2109129,-3.56508344,0.68638521,2.80294723,1.40969481
track2,54,3.20235458,-11.00912657,-4.68425253,4.031206,0.88333333,1.01671014,-1.39439871,-3.64315447,0.70288564,2.78123626,1.34962604
